"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"W9TZNHCB","journalArticle","1996","Chilali, Mahmoud; Gahinet, Pascal","H/sub/spl infin//design with pole placement constraints: an LMI approach","IEEE Transactions on automatic control","","","","http://ieeexplore.ieee.org/abstract/document/486637/","","1996","2017-06-29 20:21:51","2017-06-30 00:48:56","2017-06-29 20:21:51","358–367","","3","41","","","H/sub/spl infin//design with pole placement constraints","","","","","","","en","","","","","Google Scholar","","","","/home/cezar/Documents/Zotero/storage/85RBKNA6/Chilali and Gahinet - 1996 - Hsubspl infindesign with pole placement constr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PNXN7R8A","book","2013","Aström, Karl J.; Wittenmark, Björn","Computer-controlled systems: theory and design","","","","","","","2013","2017-02-15 18:09:27","2017-06-28 01:28:00","2016-11-29","","","","","","","Computer-controlled systems","","","","","Courier Corporation","","en","","","","","","","","","/home/cezar/Documents/Zotero/storage/8ZTT77RQ/Aström and Wittenmark - 2013 - Computer-controlled systems theory and design.pdf","","Computer Control; Digital Control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3NCS2SPZ","book","2000","Stoorvogel, Anton A.","The H_∞ Control Problem: A State Space Approach","","","","","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.461.8723&rep=rep1&type=pdf","","2000","2017-02-15 18:09:24","2017-06-27 00:50:02","2016-11-04","","","","","","","The H_∞ Control Problem","","","","","Citeseer","","en","","","","","","","","","/home/cezar/Documents/Zotero/storage/RC2E65QV/Stoorvogel_1992_The H_∞ Control Problem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KKCFGC55","document","2014","","Controle H∞ Aplicado a um Robô Omnidirecional","","","","","","","2014","2017-06-22 00:47:09","2017-06-22 01:38:59","","","","","","","","","","","","","","","","","","","","","","","","/home/cezar/Documents/Zotero/storage/F7M9XG5H/DISSERTACAO_LORENZO_VF.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WB5V636C","document","2005","","Control and Model Identification of a Mobile Robot’s Motors based in Least Squares and Instrumental Variable Methods","","","","","","","2005","2017-06-22 00:48:42","2017-06-22 00:49:06","","","","","","","","","","","","","","","","","","","","","","","","/home/cezar/Documents/Zotero/storage/G4UAZMPC/mmar2005.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E3G4G82C","document","2012","","System Identification - Data-Driven Modelling of Dynamic Systems","","","","","","","2012","2017-06-22 00:48:22","2017-06-22 00:48:29","","","","","","","","","","","","","","","","","","","","","","","","/home/cezar/Documents/Zotero/storage/QGMJP7KZ/System Identification - Data-Driven Modelling of Dynamic Systems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EGUH3DQ5","document","2002","","INTRODUÇÃO À IDENTIFICAÇÃO DE MODELOS DISCRETOS PARA SISTEMAS DINÂMICOS","","","","","","","2002","2017-06-22 00:47:54","2017-06-22 00:48:06","","","","","","","","","","","","","","","","","","","","","","","","/home/cezar/Documents/Zotero/storage/N9RF9H2R/identif_jan2003.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MI52RFDQ","document","2015","","PREDITOR DE SMITH FILTRADO","","","","","","","2015","2017-06-22 00:42:33","2017-06-22 00:43:21","","","","","","","","","","","","","","","","","","","","","","","","/home/cezar/Documents/Zotero/storage/NDE2AM7Z/SBAI_2015_submission_205.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJPSZJ48","journalArticle","2009","Flores, Jeferson Vieira; Silva Junior, Joao Manoel Gomes da","Estratégia de controle para o seguimento de refências em sistemas de tempo discreto com atuadores saturantes","Revista controle & automação. Campinas, SP. Vol. 21, n. 1 (jan./fev. 2009), p. 14-28","","","","http://www.scielo.br/pdf/ca/v21n1/v21n1a02","","2009","2017-05-09 00:01:09","2017-05-09 00:01:09","2017-05-09 00:01:09","","","","","","","","","","","","","","","","","","","Google Scholar","","","","/home/cezar/Documents/Zotero/storage/B49UKEX5/Flores and Silva Junior - 2009 - Estratégia de controle para o seguimento de refênc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GR47TRFS","journalArticle","2006","Gevers, Michel; others","System Identification without Lennart Ljung: what would have been different?","Forever Ljung in System Identification, Studentlitteratur AB, Norrtalje","","","","https://pdfs.semanticscholar.org/acfc/66104e68d7fa989c1e731c2c3d9c89ae2738.pdf","","2006","2017-02-15 18:09:28","2017-02-15 18:09:28","2017-02-11","","","","","","","System Identification without Lennart Ljung","","","","","","","","","","","","","","","","/home/cezar/Documents/Zotero/storage/JWKU966M/Gevers and others - 2006 - System Identification without Lennart Ljung what .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
